Code	Name	Description
CSC 346	Digital Systems Design	Introduction to design methods for digital logic, circuits and systems. Boolean algebra, logic circuit minimization techniques, analysis and design of combinational and sequential logic circuits, memory elements, arithmetic and logic unit, finite sta...
CSC 347	Digital Systems Laboratory	The design and implementation of circuitry found in modern computers. Design and implementation of various combinational and sequential digital circuits including arithmetic/logic units and game machine. Construction and debugging techniques using br...
CSC 382	Analysis of Algorithms	Algorithm development, including running time analysis and correctness arguments. Topics include: asymptotic notation and complexity analysis; use of mathematical techniques to determine the computational complexity of algorithms such as sorting and...
CSC 401	Virtual and Augmented Reality	Introduces Augmented Reality (AR) and Virtual Reality (VR) technologies. Students will explore the foundational concepts and practical skills necessary to create immersive and interactive virtual and augmented reality applications. Topics covered are...
CSC 412	Machine Learning and Knowledge Discovery	This course is designed to provide students with a background in fundamental and advanced concepts, tools and methodology in machine learning as well as their applicability to real world problems. An overview of algorithms used in machine learning a...
CSC 421	Internet Data Communications and Security	An introduction to the Internet, Internet applications, and computer networking. The course examines the key concepts, principles, and technologies that make today’s Internet possible. More specifically, it covers Internet design and implementation,...
CSC 424	Advanced Database Systems	Extend the knowledge of database systems to cover non-traditional databases. Topics covered may include: Parallel systems for Online Transaction Processing (OLTP), column stores for Online Analytical Processing (OLAP), transaction management, concu...
CSC 425	Shared Memory Parallel Computing	Parallel computing based on shared memory platform. Emphasis will be on shared memory architecture, OpenMP and GPU programming, analysis of correctness and performance of an OpenMP and GPU program, and algorithms that can be used on shared memory sys...
CSC 426	Applied Cryptography	An introduction to cryptography and its applications. The course examines cryptographic primitives that are building blocks of various cryptographic applications. The cryptographic primitives include pseudorandom functions, symmetric cryptography, ha...
CSC 427	Advanced Computer Game Programming	This course covers advanced principles and practices of computer game programming. The student will be exposed to the different aspects of game development including 2D and 3D asset creation, rendering and animation, sprites, AI for games, programmi...
CSC 429	Advanced High Performance Computing	Foundations of parallel computing. Algorithms for shared- and distributed-memory systems. Parallel computer architectures, performance, decomposition techniques for parallel algorithms, parallel programming models such as Open MP and MPI models, an...
CSC 430	Software Engineering	Developing large-scale reliable software systems. Theory and methodology for the design and implementation of software systems from requirements analysis through design and implementation, testing, integration, and maintenance. Tools and techniques f...
CSC 435	Advanced Data Communications	Concepts of circuit, packet, and message switched networks; local, campus, metropolitan, and wide area networks; concepts of data transmission; the emerging telecommunications industry, private networks, and integrated services digital networks.
CSC 436	Modern Web Development	A project-based course focusing on providing students with applied learning experiences that mirror how web developers operate in a modern professional environment. Students will individually develop a number of web applications leveraging public API...
CSC 438	Mobile Application Development	The principles of mobile app development. Topics wil include memory management; user interface building; input methods; data handling; GIS, network techniques and URL loading; and, finally, specifics such as GPS and motion sensing. Projects will be d...
CSC 446	Computer Architecture	Instruction formats and addressing schemes. Arithmetic and logic unit design. Control unit design: hardwired and microprogrammed. Main memory technology. Virtual, high-speed, associative, and read-only memories. Programmable logic arrays. Computer or...
CSC 450	Honors Workshop	Students, with the approval of the department, work in teams on large-scale projects. Prerequisites: Computer Science major with senior standing and departmental approval.
CSC 455	Neuromorphic Computing	Neuromorphic computing focuses on designing algorithms, electronic circuits and systems inspired by the brain?s neural structure and its mechanisms for processing information. This course examines this emerging field from the perspective of the scien...
CSC 462	Microcontrollers	Introduction to microcontrollers with an overview of the CPU architecture, instruction set, interface with target board, testing and program development using Assembly and C languages. Interrupts and interrupt timing, analog-to-digital conversion, ca...
CSC 470	Introductory Computer Graphics	Introduction to the basic concepts and techniques of interactive computer graphics including the hardware and software components of computer graphics systems and mathematical handling of graphical objects. Algorithms for two-dimensional and three-di...
CSC 475	Image Processing in Computer Science	An introduction to the basic computational techniques and algorithms of digital image/video processing. The student will learn modern approaches to image acquisition, image enhancement, image compression, and image analysis.
CSC 480	Artificial Intelligence	General introduction to artificial intelligence. Topics may include intelligent agents, search methods, heuristics, machine learning, logic and robotics. Current topics in artificial intelligence will be introduced.
CSC 482	Discrete Simulation	Introduction to simulation. Discrete simulation models. Review of basic probability and statistics. Random number generation. Design of simulation experiments. Analysis of data gathered. Simulation programming and languages. Application of simulation...
CSC 484	Theory of Computation	The notion of an algorithm. Primitive recursive and partial recursive functions. Turing machines and other models of computation. Markov algorithms. Church thesis. Godel numberings and unsolvability results. Halting problem. Post correspondence probl...
CSC 490	Seminar in Computer Science	Invited speakers and students will lead discussions on the ethical and societal impact of the computer. Students will write and present papers on current research topics in the computing field. (Liberal Arts & Science)
CSC 515	Data Science	Basic techniques of data science. Topics include SQL and NoSQL solutions for massive data management (e.g., MapReduce and contemporaries), algorithms for data mining (e.g., clustering and association rule mining), and basic statistical modeling (e.g...
